bookId,Branch,Semester,Subject,Title,Author,Publisher,Price,Buy Link,Rank,Img,Rating,Description
1,Computer Science,5,Computer Networks,Computer Networking: A Top-Down Approach,"James Kurose, Keith Ross",Pearson,$75.00 ,https://www.amazon.in/COMPUTER-NETWORKING-TOP-DOWN-APPROACH-6TH/dp/9332585490/ref=sr_1_5?crid=367FMZCDMWBW0&dib=eyJ2IjoiMSJ9.OUz6wfJl1UKJYO63Rk3nGd4MgQW9cg_jRfN0k3Bx712wr0Nfc1JM4zMkPz7-TgI20WIu0Txl4woF6klM61U7BspdvJMOlTxIeUvdP1NzyIlVoDAa2aCp28hjwh2rHW2aKC_fBbfj3IFgg-1I9rxdTVp5Yi16LsfjSQSE3wyQYVFcjhqgrh4GjNZ5xSwU9bGWb3qOj9RCeA8Z6TOeQT0QPI7LUvVJQCgEHPuITndijtk.Rbm6a40gmmHk-M4rsgkrdoI9OEyQYMK_F_TJHLG0b2g&dib_tag=se&keywords=computer+networking+a+top-down+approach+7th+edition&qid=1715966540&s=books&sprefix=Computer+Networking%3A+A+Top-Down+Approach+7th+%2Cstripbooks%2C558&sr=1-5,1,https://m.media-amazon.com/images/I/91hg1HHyiWL._SY522_.jpg,4.6,"Building on the successful top-down approach of previous editions, the Sixth Edition of Computer Networking continues with an early emphasis on application-layer paradigms and application programming interfaces (the top layer), encouraging a hands-on experience with protocols and networking concepts, before working down the protocol stack to more abstract layers.This book has become the dominant book for this course because of the authors’ reputations, the precision of explanation, the quality of the art program and the value of their own supplements.Features A balanced presentation focuses on the Internet as a specific motivating example of a network and also introduces students to protocols in a more theoretical context.A chapter on wireless and mobility includes insight into 802.11 and coverage of ad hoc networking.Principles and Practice boxes throughout demonstrate real-world applications of the principles studied.Case History boxes are sprinkled in to help tell the story of the history and development of computer networking.Material on application programming development is included, along with numerous programming assignments.A highly developed art program enhances the descriptions of concepts.A comprehensive Companion Website, which includes additional learning material, links to relevant online resources and lab materialTable of Contents Chapter 1 Computer Networks and the Internet Chapter 2 Application Layer Chapter 3 Transport Layer Chapter 4 The Network Layer Chapter 5 The Link Layer: Links, Access Networks and LANs Chapter 6 Wireless and Mobile Networks Chapter 7 Multimedia Networking Applications Chapter 8 Security in Computer Networks Chapter 9 Network Management"
2,Computer Science,5,Computer Networks,Data and Computer Communications,William Stallings,Pearson,$85.00 ,https://www.amazon.com/Data-Computer-Communications-William-Stallings/dp/0133506487,2,https://m.media-amazon.com/images/I/51Qgpz5fNBL._SX342_SY445_.jpg,4.4,"Data and Computer Communications, 10e, is a two-time winner of the best Computer Science and Engineering textbook of the year award from the Textbook and Academic Authors Association. It is ideal for one/two-semester courses in Computer Networks, Data Communications, and Communications Networks in CS, CIS, and Electrical Engineering departments. This book is also suitable for Product Development personnel, Programmers, Systems Engineers, Network Designers and others involved in the design of data communications and networking products. With a focus on the most current technology and a convenient modular format, this best-selling text offers a clear and comprehensive survey of the entire data and computer communications field. Emphasizing both the fundamental principles as well as the critical role of performance in driving protocol and network design, it explores in detail all the critical technical areas in data communications, wide-area networking, local area networking, and protocol design."
3,Computer Science,5,Computer Networks,Computer Networks,"Andrew S. Tanenbaum, David J. Wetherall",Pearson,$80.00 ,https://www.amazon.com/Computer-Networks-5th-Andrew-Tanenbaum/dp/0132126958,3,https://m.media-amazon.com/images/I/41bdzcfQKbL._SX342_SY445_.jpg,4.5,"Computer Networks, 5/e is appropriate for Computer Networking or Introduction to Networking courses at both the undergraduate and graduate level in Computer Science, Electrical Engineering, CIS, MIS, and Business Departments. Tanenbaum takes a structured approach to explaining how networks work from the inside out. He starts with an explanation of the physical layer of networking, computer hardware and transmission systems; then works his way up to network applications. Tanenbaum's in-depth application coverage includes email; the domain name system; the World Wide Web (both client- and server-side); and multimedia (including voice over IP, Internet radio video on demand, video conferencing, and streaming media. Each chapter follows a consistent approach: Tanenbaum presents key principles, then illustrates them utilizing real-world example networks that run through the entire book?the Internet, and wireless networks, including Wireless LANs, broadband wireless and Bluetooth. The Fifth Edition includes a chaper devoted exclusively to network security. The textbook is supplemented by a Solutions Manual, as well as a Website containing PowerPoint slides, art in various forms, and other tools for instruction, including a protocol simulator whereby students can develop and test their own network protocols."
4,Computer Science,5,Computer Networks,"Computer Networking: Principles, Protocols and Practice",Olivier Bonaventure,The Saylor Foundation,$0.00 ,https://www.amazon.in/Computer-Networking-Principles-Protocols-Practice/dp/1365185834,4,https://m.media-amazon.com/images/I/81wJKQfXJdL._SY522_.jpg,4.2,"Original textbook (c) October 31, 2011 by Olivier Bonaventure, is licensed under a Creative Commons Attribution (CC BY) license made possible by funding from The Saylor Foundation's Open Textbook Challenge in order to be incorporated into Saylor's collection of open courses available at: http://www.saylor.org. Free PDF 282 pages at https://www.textbookequity.org/bonaventure-computer-networking-principles-protocols-and-practice/ This open textbook aims to fill the gap between the open-source implementations and the open-source network specifications by providing a detailed but pedagogical description of the key principles that guide the operation of the Internet. 1 Preface 2 Introduction 3 The application Layer 4 The transport layer 5 The network layer 6 The datalink layer and the Local Area Networks 7 Glossary 8 Bibliography"
5,Computer Science,5,Computer Networks,Networked Life: 20 Questions and Answers,Mung Chiang,Cambridge University Press,$65.00 ,https://www.amazon.com/Networked-Life-20-Questions-Answers/dp/1107024943,5,https://m.media-amazon.com/images/I/511legXTHiL._SY522_.jpg,4.3,"How does Google sell ad space and rank webpages? How does Netflix recommend movies and Amazon rank products? How can you influence people on Facebook and Twitter and can you really reach anyone in six steps? Why doesn't the Internet collapse under congestion and does it have an Achilles' heel? Why are you charged per gigabyte for mobile data and how can Skype and BitTorrent be free? How are cloud services so scalable and why is WiFi slower at hotspots than at home? Driven by twenty real-world questions about our networked lives, this book explores the technology behind the multi-trillion dollar Internet and wireless industries. Providing easily understandable answers for the casually curious, alongside detailed explanations for those looking for in-depth discussion, this thought-provoking book is essential reading for students in engineering, science and economics, for network industry professionals and anyone curious about how technological and social networks really work."
6,Computer Science,6,Artificial Intelligence,Artificial Intelligence: A Modern Approach,"Stuart Russell, Peter Norvig",Pearson,$100.00 ,https://www.amazon.com/Artificial-Intelligence-Modern-Approach-3rd/dp/0136042597,1,https://m.media-amazon.com/images/I/61nHC3YWZlL._SY522_.jpg,4.7,"Artificial Intelligence: A Modern Approach, 3e offers the most comprehensive, up-to-date introduction to the theory and practice of artificial intelligence. Number one in its field, this textbook is ideal for one or two-semester, undergraduate or graduate-level courses in Artificial Intelligence. Dr. Peter Norvig, contributing Artificial Intelligence author and Professor Sebastian Thrun, a Pearson author are offering a free online course at Stanford University on artificial intelligence. According to an article in The New York Times, the course on artificial intelligence is “one of three being offered experimentally by the Stanford computer science department to extend technology knowledge and skills beyond this elite campus to the entire world.” One of the other two courses, an introduction to database software, is being taught by Pearson author Dr. Jennifer Widom."
7,Computer Science,6,Artificial Intelligence,Artificial Intelligence: Foundations of Computational Agents,"David L. Poole, Alan K. Mackworth",Cambridge University Press,$85.00 ,https://www.amazon.com/Artificial-Intelligence-Foundations-Computational-Agents/dp/110719539X,2,https://m.media-amazon.com/images/I/717JfpZlIRL._SY522_.jpg,4.5,"Artificial intelligence, including machine learning, has emerged as a transformational science and engineering discipline. Artificial Intelligence: Foundations of Computational Agents presents AI using a coherent framework to study the design of intelligent computational agents. By showing how the basic approaches fit into a multidimensional design space, readers learn the fundamentals without losing sight of the bigger picture. The new edition also features expanded coverage on machine learning material, as well as on the social and ethical consequences of AI and ML. The book balances theory and experiment, showing how to link them together, and develops the science of AI together with its engineering applications. Although structured as an undergraduate and graduate textbook, the book's straightforward, self-contained style will also appeal to an audience of professionals, researchers, and independent learners. The second edition is well-supported by strong pedagogical features and online resources to enhaestudent comprehension."
8,Computer Science,6,Artificial Intelligence,Artificial Intelligence: Structures and Strategies for Complex Problem Solving,George F. Luger,Pearson,$90.00 ,https://www.amazon.com/Artificial-Intelligence-Structures-Strategies-Problem-Solving/dp/0321545893,3,https://m.media-amazon.com/images/I/518J7kmxVJL._SX342_SY445_.jpg,4.2,"In this accessible, comprehensive text, George Luger captures the essence of artificial intelligence–solving the complex problems that arise wherever computer technology is applied. Ideal for an undergraduate course in AI, the Sixth Edition presents the fundamental concepts of the discipline first then goes into detail with the practical information necessary to implement the algorithms and strategies discussed. Readers learn how to use a number of different software tools and techniques to address the many challenges faced by today’s computer scientists."
9,Computer Science,6,Artificial Intelligence,Pattern Recognition and Machine Learning,Christopher M. Bishop,Springer,$70.00 ,https://www.amazon.com/Pattern-Recognition-Learning-Information-Statistics/dp/0387310738,4,https://m.media-amazon.com/images/I/61ECBlvkBCL._SY445_SX342_.jpg,4.6,"This is the first textbook on pattern recognition to present the Bayesian viewpoint. The book presents approximate inference algorithms that permit fast approximate answers in situations where exact answers are not feasible. It uses graphical models to describe probability distributions when no other books apply graphical models to machine learning. No previous knowledge of pattern recognition or machine learning concepts is assumed. Familiarity with multivariate calculus and basic linear algebra is required, and some experience in the use of probabilities would be helpful though not essential as the book includes a self-contained introduction to basic probability theory."
10,Computer Science,6,Artificial Intelligence,Deep Learning,"Ian Goodfellow, Yoshua Bengio, Aaron Courville",The MIT Press,$80.00 ,https://www.amazon.com/Deep-Learning-Adaptive-Computation-Machine/dp/0262035618,5,https://m.media-amazon.com/images/I/61AA6wv7ieL._SY445_SX342_.jpg,4.4,"Deep learning is a form of machine learning that enables computers to learn from experience and understand the world in terms of a hierarchy of concepts. Because the computer gathers knowledge from experience, there is no need for a human computer operator to formally specify all the knowledge that the computer needs. The hierarchy of concepts allows the computer to learn complicated concepts by building them out of simpler ones; a graph of these hierarchies would be many layers deep. This book introduces a broad range of topics in deep learning. The text offers mathematical and conceptual background, covering relevant concepts in linear algebra, probability theory and information theory, numerical computation, and machine learning. It describes deep learning techniques used by practitioners in industry, including deep feedforward networks, regularization, optimization algorithms, convolutional networks, sequence modeling, and practical methodology; and it surveys such applications as natural language procesing, speech recognition, computer vision, online recommendation systems, bioinformatics, and videogames. Finally, the book offers research perspectives, covering such theoretical topics as linear factor models, autoencoders, representation learning, structured probabilistic models, Monte Carlo methods, the partition function, approximate inference, and deep generative models. Deep Learning can be used by undergraduate or graduate students planning careers in either industry or research, and by software engineers who want to begin using deep learning in their products or platforms. A website offers supplementary material for both readers and instructors."
